"year","week","deaths"
2013,40,3307
2013,41,3354
2013,42,3386
2013,43,3283
2013,44,3398
2013,45,3427
2013,46,3435
2013,47,3369
2013,48,3364
2013,49,3481
2013,50,3429
2013,51,3644
2013,52,3548
2014,1,3552
2014,2,3799
2014,3,3699
2014,4,3765
2014,5,3745
2014,6,3820
2014,7,3647
2014,8,3692
2014,9,3555
2014,10,3696
2014,11,3483
2014,12,3699
2014,13,3513
2014,14,3568
2014,15,3434
2014,16,3542
2014,17,3546
2014,18,3526
2014,19,3540
2014,20,3435
2014,21,3582
2014,22,3457
2014,23,3479
2014,24,3560
2014,25,3468
2014,26,3500
2014,27,3403
2014,28,3417
2014,29,3533
2014,30,3460
2014,31,3426
2014,32,3396
2014,33,3468
2014,34,3390
2014,35,3366
2014,36,3347
2014,37,3409
2014,38,3374
2014,39,3379
2014,40,3330
2014,41,3481
2014,42,3467
2014,43,3425
2014,44,3494
2014,45,3637
2014,46,3629
2014,47,3649
2014,48,3705
2014,49,3791
2014,50,3815
2014,51,3940
2014,52,3958
2014,53,4060
2015,1,4011
2015,2,3999
2015,3,3971
2015,4,3904
2015,5,4014
2015,6,3936
2015,7,4018
2015,8,4089
2015,9,3862
2015,10,3835
2015,11,3872
2015,12,3751
2015,13,3853
2015,14,3610
2015,15,3716
2015,16,3634
2015,17,3557
2015,18,3767
2015,19,3777
2015,20,3552
2015,21,3603
2015,22,3504
2015,23,3574
2015,24,3607
2015,25,3563
2015,26,3493
2015,27,3649
2015,28,3515
2015,29,3549
2015,30,3478
2015,31,3574
2015,32,3515
2015,33,3534
2015,34,3446
2015,35,3514
2015,36,3509
2015,37,3542
2015,38,3671
2015,39,3496
2015,40,3602
2015,41,3520
2015,42,3604
2015,43,3507
2015,44,3603
2015,45,3417
2015,46,3196
2015,47,3314
2015,48,3675
2015,49,3688
2015,50,3634
2015,51,3768
2015,52,3671
2016,1,3804
2016,2,3836
2016,3,3904
2016,4,3910
2016,5,3985
2016,6,4075
2016,7,3932
2016,8,4023
2016,9,4055
2016,10,4140
2016,11,4024
2016,12,3972
2016,13,3876
2016,14,3923
2016,15,3789
2016,16,3796
2016,17,3710
2016,18,3726
2016,19,3767
2016,20,3670
2016,21,3649
2016,22,3661
2016,23,3528
2016,24,3705
2016,25,3559
2016,26,3593
2016,27,3633
2016,28,3777
2016,29,3663
2016,30,3610
2016,31,3651
2016,32,3678
2016,33,3592
2016,34,3583
2016,35,3665
2016,36,3623
2016,37,3575
2016,38,3622
2016,39,3646
2016,40,3627
2016,41,3691
2016,42,3818
2016,43,3610
2016,44,3726
2016,45,3812
2016,46,3814
2016,47,3891
2016,48,3917
2016,49,3831
2016,50,3810
2016,51,3781
2016,52,3865
2017,1,4062
2017,2,4222
2017,3,4137
2017,4,3909
2017,5,4230
2017,6,4008
2017,7,4169
2017,8,4192
2017,9,3950
2017,10,4130
2017,11,3931
2017,12,4203
2017,13,3981
2017,14,3996
2017,15,3981
2017,16,3844
2017,17,3867
2017,18,3832
2017,19,3764
2017,20,3814
2017,21,3724
2017,22,3801
2017,23,3758
2017,24,3607
2017,25,3798
2017,26,3759
2017,27,3747
2017,28,3666
2017,29,3685
2017,30,3655
2017,31,3722
2017,32,3854
2017,33,3835
2017,34,3633
2017,35,3647
2017,36,3822
2017,37,3961
2017,38,3971
2017,39,3858
2017,40,3923
2017,41,3835
2017,42,3792
2017,43,3834
2017,44,3955
2017,45,3858
2017,46,3911
2017,47,3852
2017,48,3945
2017,49,3865
2017,50,4130
2017,51,4244
2017,52,4137
2018,1,4389
2018,2,4562
2018,3,4605
2018,4,4521
2018,5,4554
2018,6,4531
2018,7,4330
2018,8,4089
2018,9,4070
2018,10,4000
2018,11,4179
2018,12,4045
2018,13,4020
2018,14,4034
2018,15,3896
2018,16,3927
2018,17,3833
2018,18,3880
2018,19,3801
2018,20,3737
2018,21,3664
2018,22,3862
2018,23,3886
2018,24,3792
2018,25,3774
2018,26,3714
2018,27,4016
2018,28,3669
2018,29,3718
2018,30,3657
2018,31,3727
2018,32,3742
2018,33,3590
2018,34,3652
2018,35,3701
2018,36,3667
2018,37,3865
2018,38,3770
2018,39,3782
2018,40,3756
2018,41,3798
2018,42,3735
2018,43,3879
2018,44,3744
2018,45,3798
2018,46,3923
2018,47,3830
2018,48,3905
2018,49,4062
2018,50,4108
2018,51,3922
2018,52,4138
2019,1,4139
2019,2,4113
2019,3,4077
2019,4,4061
2019,5,4223
2019,6,4174
2019,7,4142
2019,8,4037
2019,9,4174
2019,10,4024
2019,11,4053
2019,12,4050
2019,13,4239
2019,14,4100
2019,15,4152
2019,16,3991
2019,17,4053
2019,18,3982
2019,19,4064
2019,20,4046
2019,21,3904
2019,22,3927
2019,23,3974
2019,24,3816
2019,25,3945
2019,26,3830
2019,27,3893
2019,28,3881
2019,29,3786
2019,30,3898
2019,31,3922
2019,32,3711
2019,33,3683
2019,34,3794
2019,35,3708
2019,36,3755
2019,37,3721
2019,38,3804
2019,39,3765
2019,40,3838
2019,41,3869
2019,42,3786
2019,43,3722
2019,44,3876
2019,45,3963
2019,46,4034
2019,47,3984
2019,48,4018
2019,49,4187
2019,50,4243
2019,51,4083
2019,52,4256
2020,1,4238
2020,2,4312
2020,3,4272
2020,4,4258
2020,5,4299
2020,6,4250
2020,7,4223
2020,8,4261
2020,9,4235
2020,10,4374
2020,11,4267
2020,12,4228
2020,13,4327
2020,14,4378
2020,15,4452
2020,16,4333
2020,17,4494
2020,18,4294
2020,19,4317
2020,20,4235
2020,21,4302
2020,22,4135
2020,23,4206
2020,24,4190
2020,25,4346
2020,26,4472
2020,27,4685
2020,28,5053
2020,29,5436
2020,30,5659
2020,31,5752
2020,32,5551
2020,33,5486
2020,34,5186
2020,35,4985
2020,36,4726
2020,37,4461
2020,38,4645
2020,39,4460
2020,40,4342
2020,41,4497
2020,42,4365
2020,43,4323
2020,44,4243
2020,45,4291
2020,46,4461
2020,47,4512
2020,48,4574
2020,49,4812
2020,50,4998
2020,51,4845
2020,52,4899
2020,53,5283
2021,1,4331
2021,2,4260
2021,3,3688
2021,4,2073
